"","milepoint","lat","long","time_numeric","grid_loc","loc_ind","Date","counts"
"69",0.25,40.71327,-111.8148,2085.44444,"[0,0.5)","[0,0.5)",2020-09-16 10:39:59,1
"70",0.25,40.71327,-111.8148,2115.88889,"[0,0.5)","[0,0.5)",2020-10-16 21:20:00,0
"71",0.25,40.71327,-111.8148,2146.33333,"[0,0.5)","[0,0.5)",2020-11-16 07:59:59,0
"72",0.25,40.71327,-111.8148,2176.77778,"[0,0.5)","[0,0.5)",2020-12-16 18:40:00,0
"73",0.75,40.71214672,-111.8056827,15.22222,"[0.5,1)","[0.5,1)",2015-01-16 05:19:59,0
"74",0.75,40.71214672,-111.8056827,45.66667,"[0.5,1)","[0.5,1)",2015-02-15 16:00:00,1
"75",0.75,40.71214672,-111.8056827,76.11111,"[0.5,1)","[0.5,1)",2015-03-18 02:39:59,0
"76",0.75,40.71214672,-111.8056827,106.55556,"[0.5,1)","[0.5,1)",2015-04-17 13:20:00,0
"77",0.75,40.71214672,-111.8056827,137,"[0.5,1)","[0.5,1)",2015-05-18 00:00:00,0
"78",0.75,40.71214672,-111.8056827,167.44444,"[0.5,1)","[0.5,1)",2015-06-17 10:39:59,1
"79",0.75,40.71214672,-111.8056827,197.88889,"[0.5,1)","[0.5,1)",2015-07-17 21:20:00,0
"80",0.75,40.71214672,-111.8056827,228.33333,"[0.5,1)","[0.5,1)",2015-08-17 07:59:59,0
"81",0.75,40.71214672,-111.8056827,258.77778,"[0.5,1)","[0.5,1)",2015-09-16 18:40:00,0
"82",0.75,40.71214672,-111.8056827,289.22222,"[0.5,1)","[0.5,1)",2015-10-17 05:19:59,0
"83",0.75,40.71214672,-111.8056827,319.66667,"[0.5,1)","[0.5,1)",2015-11-16 16:00:00,0
"84",0.75,40.71214672,-111.8056827,350.11111,"[0.5,1)","[0.5,1)",2015-12-17 02:39:59,2
"85",0.75,40.71214672,-111.8056827,380.55556,"[0.5,1)","[0.5,1)",2016-01-16 13:20:00,2
"86",0.75,40.71214672,-111.8056827,411,"[0.5,1)","[0.5,1)",2016-02-16 00:00:00,0
"87",0.75,40.71214672,-111.8056827,441.44444,"[0.5,1)","[0.5,1)",2016-03-17 10:39:59,0
"88",0.75,40.71214672,-111.8056827,471.88889,"[0.5,1)","[0.5,1)",2016-04-16 21:20:00,3
"89",0.75,40.71214672,-111.8056827,502.33333,"[0.5,1)","[0.5,1)",2016-05-17 07:59:59,1
"90",0.75,40.71214672,-111.8056827,532.77778,"[0.5,1)","[0.5,1)",2016-06-16 18:40:00,1
"91",0.75,40.71214672,-111.8056827,563.22222,"[0.5,1)","[0.5,1)",2016-07-17 05:19:59,0
"92",0.75,40.71214672,-111.8056827,593.66667,"[0.5,1)","[0.5,1)",2016-08-16 16:00:00,0
"93",0.75,40.71214672,-111.8056827,624.11111,"[0.5,1)","[0.5,1)",2016-09-16 02:39:59,0
"94",0.75,40.71214672,-111.8056827,654.55556,"[0.5,1)","[0.5,1)",2016-10-16 13:20:00,1
"95",0.75,40.71214672,-111.8056827,685,"[0.5,1)","[0.5,1)",2016-11-16 00:00:00,0
"96",0.75,40.71214672,-111.8056827,715.44444,"[0.5,1)","[0.5,1)",2016-12-16 10:39:59,0
"97",0.75,40.71214672,-111.8056827,745.88889,"[0.5,1)","[0.5,1)",2017-01-15 21:20:00,0
"98",0.75,40.71214672,-111.8056827,776.33333,"[0.5,1)","[0.5,1)",2017-02-15 07:59:59,1
"99",0.75,40.71214672,-111.8056827,806.77778,"[0.5,1)","[0.5,1)",2017-03-17 18:40:00,0
"100",0.75,40.71214672,-111.8056827,837.22222,"[0.5,1)","[0.5,1)",2017-04-17 05:19:59,0
"101",0.75,40.71214672,-111.8056827,867.66667,"[0.5,1)","[0.5,1)",2017-05-17 16:00:00,0
"102",0.75,40.71214672,-111.8056827,898.11111,"[0.5,1)","[0.5,1)",2017-06-17 02:39:59,1
"103",0.75,40.71214672,-111.8056827,928.55556,"[0.5,1)","[0.5,1)",2017-07-17 13:20:00,0
"104",0.75,40.71214672,-111.8056827,959,"[0.5,1)","[0.5,1)",2017-08-17 00:00:00,0
"105",0.75,40.71214672,-111.8056827,989.44444,"[0.5,1)","[0.5,1)",2017-09-16 10:39:59,0
"106",0.75,40.71214672,-111.8056827,1019.88889,"[0.5,1)","[0.5,1)",2017-10-16 21:20:00,0
"107",0.75,40.71214672,-111.8056827,1050.33333,"[0.5,1)","[0.5,1)",2017-11-16 07:59:59,2
"108",0.75,40.71214672,-111.8056827,1080.77778,"[0.5,1)","[0.5,1)",2017-12-16 18:40:00,1
"109",0.75,40.71214672,-111.8056827,1111.22222,"[0.5,1)","[0.5,1)",2018-01-16 05:19:59,0
"110",0.75,40.71214672,-111.8056827,1141.66667,"[0.5,1)","[0.5,1)",2018-02-15 16:00:00,0
"111",0.75,40.71214672,-111.8056827,1172.11111,"[0.5,1)","[0.5,1)",2018-03-18 02:39:59,0
"112",0.75,40.71214672,-111.8056827,1202.55556,"[0.5,1)","[0.5,1)",2018-04-17 13:20:00,0
"113",0.75,40.71214672,-111.8056827,1233,"[0.5,1)","[0.5,1)",2018-05-18 00:00:00,0
"114",0.75,40.71214672,-111.8056827,1263.44444,"[0.5,1)","[0.5,1)",2018-06-17 10:39:59,1
"115",0.75,40.71214672,-111.8056827,1293.88889,"[0.5,1)","[0.5,1)",2018-07-17 21:20:00,0
"116",0.75,40.71214672,-111.8056827,1324.33333,"[0.5,1)","[0.5,1)",2018-08-17 07:59:59,0
"117",0.75,40.71214672,-111.8056827,1354.77778,"[0.5,1)","[0.5,1)",2018-09-16 18:40:00,0
"118",0.75,40.71214672,-111.8056827,1385.22222,"[0.5,1)","[0.5,1)",2018-10-17 05:19:59,0
"119",0.75,40.71214672,-111.8056827,1415.66667,"[0.5,1)","[0.5,1)",2018-11-16 16:00:00,0
"120",0.75,40.71214672,-111.8056827,1446.11111,"[0.5,1)","[0.5,1)",2018-12-17 02:39:59,2
"121",0.75,40.71214672,-111.8056827,1476.55556,"[0.5,1)","[0.5,1)",2019-01-16 13:20:00,0
"122",0.75,40.71214672,-111.8056827,1507,"[0.5,1)","[0.5,1)",2019-02-16 00:00:00,1
"123",0.75,40.71214672,-111.8056827,1537.44444,"[0.5,1)","[0.5,1)",2019-03-18 10:39:59,1
"124",0.75,40.71214672,-111.8056827,1567.88889,"[0.5,1)","[0.5,1)",2019-04-17 21:20:00,0
"125",0.75,40.71214672,-111.8056827,1598.33333,"[0.5,1)","[0.5,1)",2019-05-18 07:59:59,2
"126",0.75,40.71214672,-111.8056827,1628.77778,"[0.5,1)","[0.5,1)",2019-06-17 18:40:00,1
"127",0.75,40.71214672,-111.8056827,1659.22222,"[0.5,1)","[0.5,1)",2019-07-18 05:19:59,0
"128",0.75,40.71214672,-111.8056827,1689.66667,"[0.5,1)","[0.5,1)",2019-08-17 16:00:00,0
"129",0.75,40.71214672,-111.8056827,1720.11111,"[0.5,1)","[0.5,1)",2019-09-17 02:39:59,1
"130",0.75,40.71214672,-111.8056827,1750.55556,"[0.5,1)","[0.5,1)",2019-10-17 13:20:00,1
"131",0.75,40.71214672,-111.8056827,1781,"[0.5,1)","[0.5,1)",2019-11-17 00:00:00,0
"132",0.75,40.71214672,-111.8056827,1811.44444,"[0.5,1)","[0.5,1)",2019-12-17 10:39:59,0
"133",0.75,40.71214672,-111.8056827,1841.88889,"[0.5,1)","[0.5,1)",2020-01-16 21:20:00,1
"134",0.75,40.71214672,-111.8056827,1872.33333,"[0.5,1)","[0.5,1)",2020-02-16 07:59:59,0
"135",0.75,40.71214672,-111.8056827,1902.77778,"[0.5,1)","[0.5,1)",2020-03-17 18:40:00,2
"136",0.75,40.71214672,-111.8056827,1933.22222,"[0.5,1)","[0.5,1)",2020-04-17 05:19:59,0
"137",0.75,40.71214672,-111.8056827,1963.66667,"[0.5,1)","[0.5,1)",2020-05-17 16:00:00,0
"138",0.75,40.71214672,-111.8056827,1994.11111,"[0.5,1)","[0.5,1)",2020-06-17 02:39:59,0
"139",0.75,40.71214672,-111.8056827,2024.55556,"[0.5,1)","[0.5,1)",2020-07-17 13:20:00,0
"140",0.75,40.71214672,-111.8056827,2055,"[0.5,1)","[0.5,1)",2020-08-17 00:00:00,1
"141",0.75,40.71214672,-111.8056827,2085.44444,"[0.5,1)","[0.5,1)",2020-09-16 10:39:59,0
"142",0.75,40.71214672,-111.8056827,2115.88889,"[0.5,1)","[0.5,1)",2020-10-16 21:20:00,1
"143",0.75,40.71214672,-111.8056827,2146.33333,"[0.5,1)","[0.5,1)",2020-11-16 07:59:59,0
"144",0.75,40.71214672,-111.8056827,2176.77778,"[0.5,1)","[0.5,1)",2020-12-16 18:40:00,1
"145",1.25,40.70819206,-111.7977775,15.22222,"[1,1.5)","[1,1.5)",2015-01-16 05:19:59,1
"146",1.25,40.70819206,-111.7977775,45.66667,"[1,1.5)","[1,1.5)",2015-02-15 16:00:00,1
"147",1.25,40.70819206,-111.7977775,76.11111,"[1,1.5)","[1,1.5)",2015-03-18 02:39:59,4
"148",1.25,40.70819206,-111.7977775,106.55556,"[1,1.5)","[1,1.5)",2015-04-17 13:20:00,1
"149",1.25,40.70819206,-111.7977775,137,"[1,1.5)","[1,1.5)",2015-05-18 00:00:00,0
"150",1.25,40.70819206,-111.7977775,167.44444,"[1,1.5)","[1,1.5)",2015-06-17 10:39:59,0
"151",1.25,40.70819206,-111.7977775,197.88889,"[1,1.5)","[1,1.5)",2015-07-17 21:20:00,0
"152",1.25,40.70819206,-111.7977775,228.33333,"[1,1.5)","[1,1.5)",2015-08-17 07:59:59,0
"153",1.25,40.70819206,-111.7977775,258.77778,"[1,1.5)","[1,1.5)",2015-09-16 18:40:00,3
"154",1.25,40.70819206,-111.7977775,289.22222,"[1,1.5)","[1,1.5)",2015-10-17 05:19:59,1
"155",1.25,40.70819206,-111.7977775,319.66667,"[1,1.5)","[1,1.5)",2015-11-16 16:00:00,1
"156",1.25,40.70819206,-111.7977775,350.11111,"[1,1.5)","[1,1.5)",2015-12-17 02:39:59,2
"157",1.25,40.70819206,-111.7977775,380.55556,"[1,1.5)","[1,1.5)",2016-01-16 13:20:00,1
"158",1.25,40.70819206,-111.7977775,411,"[1,1.5)","[1,1.5)",2016-02-16 00:00:00,0
"159",1.25,40.70819206,-111.7977775,441.44444,"[1,1.5)","[1,1.5)",2016-03-17 10:39:59,0
"160",1.25,40.70819206,-111.7977775,471.88889,"[1,1.5)","[1,1.5)",2016-04-16 21:20:00,0
"161",1.25,40.70819206,-111.7977775,502.33333,"[1,1.5)","[1,1.5)",2016-05-17 07:59:59,0
"162",1.25,40.70819206,-111.7977775,532.77778,"[1,1.5)","[1,1.5)",2016-06-16 18:40:00,0
"163",1.25,40.70819206,-111.7977775,563.22222,"[1,1.5)","[1,1.5)",2016-07-17 05:19:59,1
"164",1.25,40.70819206,-111.7977775,593.66667,"[1,1.5)","[1,1.5)",2016-08-16 16:00:00,1
"165",1.25,40.70819206,-111.7977775,624.11111,"[1,1.5)","[1,1.5)",2016-09-16 02:39:59,1
"166",1.25,40.70819206,-111.7977775,654.55556,"[1,1.5)","[1,1.5)",2016-10-16 13:20:00,0
"167",1.25,40.70819206,-111.7977775,685,"[1,1.5)","[1,1.5)",2016-11-16 00:00:00,0
"168",1.25,40.70819206,-111.7977775,715.44444,"[1,1.5)","[1,1.5)",2016-12-16 10:39:59,2
"169",1.25,40.70819206,-111.7977775,745.88889,"[1,1.5)","[1,1.5)",2017-01-15 21:20:00,3
"170",1.25,40.70819206,-111.7977775,776.33333,"[1,1.5)","[1,1.5)",2017-02-15 07:59:59,1
"171",1.25,40.70819206,-111.7977775,806.77778,"[1,1.5)","[1,1.5)",2017-03-17 18:40:00,1
"172",1.25,40.70819206,-111.7977775,837.22222,"[1,1.5)","[1,1.5)",2017-04-17 05:19:59,2
"173",1.25,40.70819206,-111.7977775,867.66667,"[1,1.5)","[1,1.5)",2017-05-17 16:00:00,3
"174",1.25,40.70819206,-111.7977775,898.11111,"[1,1.5)","[1,1.5)",2017-06-17 02:39:59,1
"175",1.25,40.70819206,-111.7977775,928.55556,"[1,1.5)","[1,1.5)",2017-07-17 13:20:00,1
"176",1.25,40.70819206,-111.7977775,959,"[1,1.5)","[1,1.5)",2017-08-17 00:00:00,4
"177",1.25,40.70819206,-111.7977775,989.44444,"[1,1.5)","[1,1.5)",2017-09-16 10:39:59,0
"178",1.25,40.70819206,-111.7977775,1019.88889,"[1,1.5)","[1,1.5)",2017-10-16 21:20:00,1
"179",1.25,40.70819206,-111.7977775,1050.33333,"[1,1.5)","[1,1.5)",2017-11-16 07:59:59,0
"180",1.25,40.70819206,-111.7977775,1080.77778,"[1,1.5)","[1,1.5)",2017-12-16 18:40:00,0
"181",1.25,40.70819206,-111.7977775,1111.22222,"[1,1.5)","[1,1.5)",2018-01-16 05:19:59,0
"182",1.25,40.70819206,-111.7977775,1141.66667,"[1,1.5)","[1,1.5)",2018-02-15 16:00:00,0
"183",1.25,40.70819206,-111.7977775,1172.11111,"[1,1.5)","[1,1.5)",2018-03-18 02:39:59,4
"184",1.25,40.70819206,-111.7977775,1202.55556,"[1,1.5)","[1,1.5)",2018-04-17 13:20:00,0
"185",1.25,40.70819206,-111.7977775,1233,"[1,1.5)","[1,1.5)",2018-05-18 00:00:00,0
"186",1.25,40.70819206,-111.7977775,1263.44444,"[1,1.5)","[1,1.5)",2018-06-17 10:39:59,1
"187",1.25,40.70819206,-111.7977775,1293.88889,"[1,1.5)","[1,1.5)",2018-07-17 21:20:00,1
"188",1.25,40.70819206,-111.7977775,1324.33333,"[1,1.5)","[1,1.5)",2018-08-17 07:59:59,3
"189",1.25,40.70819206,-111.7977775,1354.77778,"[1,1.5)","[1,1.5)",2018-09-16 18:40:00,0
"190",1.25,40.70819206,-111.7977775,1385.22222,"[1,1.5)","[1,1.5)",2018-10-17 05:19:59,2
"191",1.25,40.70819206,-111.7977775,1415.66667,"[1,1.5)","[1,1.5)",2018-11-16 16:00:00,2
"192",1.25,40.70819206,-111.7977775,1446.11111,"[1,1.5)","[1,1.5)",2018-12-17 02:39:59,1
"193",1.25,40.70819206,-111.7977775,1476.55556,"[1,1.5)","[1,1.5)",2019-01-16 13:20:00,2
"194",1.25,40.70819206,-111.7977775,1507,"[1,1.5)","[1,1.5)",2019-02-16 00:00:00,2
"195",1.25,40.70819206,-111.7977775,1537.44444,"[1,1.5)","[1,1.5)",2019-03-18 10:39:59,3
"196",1.25,40.70819206,-111.7977775,1567.88889,"[1,1.5)","[1,1.5)",2019-04-17 21:20:00,5
"197",1.25,40.70819206,-111.7977775,1598.33333,"[1,1.5)","[1,1.5)",2019-05-18 07:59:59,3
"198",1.25,40.70819206,-111.7977775,1628.77778,"[1,1.5)","[1,1.5)",2019-06-17 18:40:00,2
"199",1.25,40.70819206,-111.7977775,1659.22222,"[1,1.5)","[1,1.5)",2019-07-18 05:19:59,0
"200",1.25,40.70819206,-111.7977775,1689.66667,"[1,1.5)","[1,1.5)",2019-08-17 16:00:00,0
"201",1.25,40.70819206,-111.7977775,1720.11111,"[1,1.5)","[1,1.5)",2019-09-17 02:39:59,1
"202",1.25,40.70819206,-111.7977775,1750.55556,"[1,1.5)","[1,1.5)",2019-10-17 13:20:00,1
"203",1.25,40.70819206,-111.7977775,1781,"[1,1.5)","[1,1.5)",2019-11-17 00:00:00,2
"204",1.25,40.70819206,-111.7977775,1811.44444,"[1,1.5)","[1,1.5)",2019-12-17 10:39:59,3
"205",1.25,40.70819206,-111.7977775,1841.88889,"[1,1.5)","[1,1.5)",2020-01-16 21:20:00,1
"206",1.25,40.70819206,-111.7977775,1872.33333,"[1,1.5)","[1,1.5)",2020-02-16 07:59:59,3
"207",1.25,40.70819206,-111.7977775,1902.77778,"[1,1.5)","[1,1.5)",2020-03-17 18:40:00,1
"208",1.25,40.70819206,-111.7977775,1933.22222,"[1,1.5)","[1,1.5)",2020-04-17 05:19:59,0
"209",1.25,40.70819206,-111.7977775,1963.66667,"[1,1.5)","[1,1.5)",2020-05-17 16:00:00,0
"210",1.25,40.70819206,-111.7977775,1994.11111,"[1,1.5)","[1,1.5)",2020-06-17 02:39:59,1
"211",1.25,40.70819206,-111.7977775,2024.55556,"[1,1.5)","[1,1.5)",2020-07-17 13:20:00,0
"212",1.25,40.70819206,-111.7977775,2055,"[1,1.5)","[1,1.5)",2020-08-17 00:00:00,0
"213",1.25,40.70819206,-111.7977775,2085.44444,"[1,1.5)","[1,1.5)",2020-09-16 10:39:59,0
"214",1.25,40.70819206,-111.7977775,2115.88889,"[1,1.5)","[1,1.5)",2020-10-16 21:20:00,1
"215",1.25,40.70819206,-111.7977775,2146.33333,"[1,1.5)","[1,1.5)",2020-11-16 07:59:59,4
"216",1.25,40.70819206,-111.7977775,2176.77778,"[1,1.5)","[1,1.5)",2020-12-16 18:40:00,1
"217",1.75,40.70129396,-111.7950748,15.22222,"[1.5,2)","[1.5,2)",2015-01-16 05:19:59,0
"218",1.75,40.70129396,-111.7950748,45.66667,"[1.5,2)","[1.5,2)",2015-02-15 16:00:00,2
"219",1.75,40.70129396,-111.7950748,76.11111,"[1.5,2)","[1.5,2)",2015-03-18 02:39:59,1
"220",1.75,40.70129396,-111.7950748,106.55556,"[1.5,2)","[1.5,2)",2015-04-17 13:20:00,1
"221",1.75,40.70129396,-111.7950748,137,"[1.5,2)","[1.5,2)",2015-05-18 00:00:00,0
"222",1.75,40.70129396,-111.7950748,167.44444,"[1.5,2)","[1.5,2)",2015-06-17 10:39:59,2
"223",1.75,40.70129396,-111.7950748,197.88889,"[1.5,2)","[1.5,2)",2015-07-17 21:20:00,0
"224",1.75,40.70129396,-111.7950748,228.33333,"[1.5,2)","[1.5,2)",2015-08-17 07:59:59,1
"225",1.75,40.70129396,-111.7950748,258.77778,"[1.5,2)","[1.5,2)",2015-09-16 18:40:00,2
"226",1.75,40.70129396,-111.7950748,289.22222,"[1.5,2)","[1.5,2)",2015-10-17 05:19:59,1
"227",1.75,40.70129396,-111.7950748,319.66667,"[1.5,2)","[1.5,2)",2015-11-16 16:00:00,2
"228",1.75,40.70129396,-111.7950748,350.11111,"[1.5,2)","[1.5,2)",2015-12-17 02:39:59,1
"229",1.75,40.70129396,-111.7950748,380.55556,"[1.5,2)","[1.5,2)",2016-01-16 13:20:00,3
"230",1.75,40.70129396,-111.7950748,411,"[1.5,2)","[1.5,2)",2016-02-16 00:00:00,1
"231",1.75,40.70129396,-111.7950748,441.44444,"[1.5,2)","[1.5,2)",2016-03-17 10:39:59,0
"232",1.75,40.70129396,-111.7950748,471.88889,"[1.5,2)","[1.5,2)",2016-04-16 21:20:00,2
"233",1.75,40.70129396,-111.7950748,502.33333,"[1.5,2)","[1.5,2)",2016-05-17 07:59:59,1
"234",1.75,40.70129396,-111.7950748,532.77778,"[1.5,2)","[1.5,2)",2016-06-16 18:40:00,1
"235",1.75,40.70129396,-111.7950748,563.22222,"[1.5,2)","[1.5,2)",2016-07-17 05:19:59,1
"236",1.75,40.70129396,-111.7950748,593.66667,"[1.5,2)","[1.5,2)",2016-08-16 16:00:00,1
"237",1.75,40.70129396,-111.7950748,624.11111,"[1.5,2)","[1.5,2)",2016-09-16 02:39:59,1
"238",1.75,40.70129396,-111.7950748,654.55556,"[1.5,2)","[1.5,2)",2016-10-16 13:20:00,5
"239",1.75,40.70129396,-111.7950748,685,"[1.5,2)","[1.5,2)",2016-11-16 00:00:00,6
"240",1.75,40.70129396,-111.7950748,715.44444,"[1.5,2)","[1.5,2)",2016-12-16 10:39:59,3
"241",1.75,40.70129396,-111.7950748,745.88889,"[1.5,2)","[1.5,2)",2017-01-15 21:20:00,0
"242",1.75,40.70129396,-111.7950748,776.33333,"[1.5,2)","[1.5,2)",2017-02-15 07:59:59,0
"243",1.75,40.70129396,-111.7950748,806.77778,"[1.5,2)","[1.5,2)",2017-03-17 18:40:00,1
"244",1.75,40.70129396,-111.7950748,837.22222,"[1.5,2)","[1.5,2)",2017-04-17 05:19:59,2
"245",1.75,40.70129396,-111.7950748,867.66667,"[1.5,2)","[1.5,2)",2017-05-17 16:00:00,4
"246",1.75,40.70129396,-111.7950748,898.11111,"[1.5,2)","[1.5,2)",2017-06-17 02:39:59,3
